Broker,Account,Holding,Ticker,Theme,Type,Currency,Shares,Market Value,Investment Thesis
Berkshire Hathaway 13F Demo,Q1 2026 13F,Apple,AAPL,Information Technology,Core,USD,"289,000,000","57,800,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,American Express,AXP,Financial Services,Core,USD,"151,610,700","45,900,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Coca-Cola,KO,Consumer Staples,Core,USD,"400,000,000","30,400,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Bank of America,BAC,Financial Services,Core,USD,"630,000,000","25,000,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Chevron,CVX,Energy,Defensive,USD,"105,000,000","17,500,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Occidental Petroleum,OXY,Energy,Defensive,USD,"255,000,000","14,700,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Kraft Heinz,KHC,Consumer Staples,Defensive,USD,"325,000,000","10,900,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Moody's,MCO,Financial Data,Satellite,USD,"24,669,778","11,700,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Alphabet Class A,GOOGL,Communication Services,Satellite,USD,"36,000,000","6,300,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
Berkshire Hathaway 13F Demo,Q1 2026 13F,Delta Air Lines,DAL,Industrials,Satellite,USD,"40,000,000","2,600,000,000",Public 13F-style demo row based on Berkshire Hathaway disclosed equity holdings.
